Date,Cases,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,1,0,0
1/31/20,1,0,0
2/1/20,1,0,0
2/2/20,2,0,0
2/3/20,3,0,0
2/4/20,3,0,0
2/5/20,3,0,0
2/6/20,3,0,0
2/7/20,3,0,0
2/8/20,3,0,0
2/9/20,3,0,0
2/10/20,3,0,0
2/11/20,3,0,0
2/12/20,3,0,0
2/13/20,3,0,0
2/14/20,3,0,0
2/15/20,3,0,0
2/16/20,3,0,3
2/17/20,3,0,3
2/18/20,3,0,3
2/19/20,3,0,3
2/20/20,3,0,3
2/21/20,3,0,3
2/22/20,3,0,3
2/23/20,3,0,3
2/24/20,3,0,3
2/25/20,3,0,3
2/26/20,3,0,3
2/27/20,3,0,3
2/28/20,3,0,3
2/29/20,3,0,3
3/1/20,3,0,3
3/2/20,5,0,3
3/3/20,5,0,3
3/4/20,28,0,3
3/5/20,30,0,3
3/6/20,31,0,3
3/7/20,34,0,3
3/8/20,39,0,3
3/9/20,43,0,3
3/10/20,56,0,4
3/11/20,62,1,4
3/12/20,73,1,4
3/13/20,82,2,4
3/14/20,102,2,4
3/15/20,113,2,13
3/16/20,119,2,13
3/17/20,142,3,14
3/18/20,156,3,14
3/19/20,194,4,15
3/20/20,244,5,20
3/21/20,330,4,23
3/22/20,396,7,27
3/23/20,499,10,27
3/24/20,536,10,40
3/25/20,657,12,43
3/26/20,727,20,45
3/27/20,887,20,73
3/28/20,987,24,84
3/29/20,1024,27,95
3/30/20,1251,32,102
3/31/20,1397,35,123
4/1/20,1998,58,148
4/2/20,2543,72,191
4/3/20,2567,72,192
4/4/20,3082,86,229
4/5/20,3588,99,229
4/6/20,4778,136,375
4/7/20,5311,150,421
4/8/20,5916,178,506
4/9/20,6725,226,620
4/10/20,7598,246,774
4/11/20,8446,288,969
4/12/20,9205,331,1080
4/13/20,10453,358,1181
4/14/20,11487,393,1359
4/15/20,12322,405,1432
4/16/20,13430,448,1768
4/17/20,14352,486,2041
4/18/20,15722,521,2463
4/19/20,17615,559,2854
4/20/20,18539,592,3273
4/21/20,20080,645,3975
4/22/20,21370,681,4370
4/23/20,23077,721,5012
4/24/20,24530,780,5498
4/25/20,26283,825,5939
4/26/20,27890,881,6523
4/27/20,29451,939,7137
4/28/20,31324,1008,7747
